id	name	code	zip	area_code	abbr	parent_id	latitude	longitude	is_deleted	level	displayorder	user_id	user_name	updated_at	created_at
336	武威市	wuweishi		0935	wws	29	37.56	102.39	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
337	张掖市	zhangyeshi		0936	zys	29	38.56	100.26	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
338	平凉市	pingliangshi		0933	pls	29	35.32	106.40	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
339	酒泉市	jiuquanshi		0937	jqs	29	39.44	98.31	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
340	庆阳市	qingyangshi			qys	29			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
341	定西市	dingxishi		0932	dxs	29			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
342	陇南市	longnanshi			lns	29			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
343	临夏回族自治州	linxiahuizuzizhizhou			lxhzzzz	29	35.37	103.12	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
344	甘南藏族自治州	gannanzangzuzizhizhou			gnzzzzz	29			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
345	西宁市	xiningshi		0971	xns	30	36.38	101.48	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
346	海东地区	haidongdiqu			hddq	30			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
347	海北藏族自治州	haibeizangzuzizhizhou			hbzzzzz	30			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
348	黄南藏族自治州	huangnanzangzuzizhizhou			hnzzzzz	30			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
349	海南藏族自治州	hainanzangzuzizhizhou			hnzzzzz	30	20.02	110.20	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
350	果洛藏族自治州	guoluozangzuzizhizhou			glzzzzz	30			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
351	玉树藏族自治州	yushuzangzuzizhizhou			yszzzzz	30			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
352	海西蒙古族藏族自治州	haiximengguzuzangzuzizhizhou			hxmgzzzzzz	30			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
353	银川市	yinchuanshi		0951	ycs	31	38.27	106.16	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
354	石嘴山市	shizuishanshi		0952	szss	31	39.02	106.22	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
355	吴忠市	wuzhongshi		0953	wzs	31	37.59	106.11	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
356	固原市	guyuanshi		0954	gys	31			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
357	中卫市	zhongweishi			zws	31			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
358	乌鲁木齐市	wulumuqishi		0991	wlmqs	32	43.45	87.36	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
359	克拉玛依市	kelamayishi		0990	klmys	32	45.36	84.51	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
360	吐鲁番地区	tulupandiqu		0995	tlpdq	32	42.54	89.11	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
361	哈密地区	hamidiqu		0902	hmdq	32	42.50	93.28	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
362	昌吉回族自治州	changjihuizuzizhizhou		0994	cjhzzzz	32	44.02	87.18	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
363	博尔塔拉蒙古自治州	boertalamengguzizhizhou		0909	betlmgzzz	32			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
364	巴音郭楞蒙古自治州	bayinguolengmengguzizhizhou		0996	byglmgzzz	32			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
365	阿克苏地区	ekesudiqu		0997	eksdq	32	41.09	80.19	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
366	克孜勒苏柯尔克孜自治州	kezileisukeerkezizizhizhou		0908	kzlskekzzzz	32			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
367	喀什地区	kashidiqu		0998	ksdq	32	39.30	75.59	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
368	和田地区	huotiandiqu		0903	htdq	32	37.09	79.55	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
369	伊犁哈萨克自治州	yilihasakezizhizhou		0999	ylhskzzz	32			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
370	塔城地区	tachengdiqu		0901	tcdq	32	46.46	82.59	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
371	阿勒泰地区	eleitaidiqu		0906	eltdq	32	47.50	88.12	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
372	新疆省直辖行政单位	xinjiangxingzhixiaxingzhengshanwei			xjxzxxzsw	32	43.45	87.36	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3552	安达市	andashi			ads	9	46.24	125.18	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3553	安国市	anguoshi			ags	4	38.24	115.20	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3554	安陆市	anlushi			als	18	31.15	113.41	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3555	安宁市	anningshi			ans	26			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3556	安丘市	anqiushi			aqs	16	36.25	119.12	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3557	霸州市	bazhoushi			bzs	4	39.06	116.24	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3558	北安市	beianshi			bas	9	48.15	126.31	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3559	北流市	beiliushi			bls	21	22.42	110.21	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3560	北票市	beipiaoshi			bps	7	41.48	120.47	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3561	北镇市	beizhenshi			bzs	7			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3562	泊头市	potoushi			pts	4	38.04	116.34	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3563	岑溪市	cenxishi			cxs	21			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3564	昌邑市	changyishi			cys	16	39.52	119.24	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3565	长葛市	zhanggeshi			zgs	17	34.12	113.47	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3566	长乐市	zhangyueshi			zys	14	25.58	119.31	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3567	常宁市	changningshi			cns	19			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3568	常熟市	changshushi			css	11	31.39	120.43	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3569	赤壁市	chibishi			cbs	18			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3570	赤水市	chishuishi			css	25	28.34	105.42	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3571	崇州市	chongzhoushi			czs	24	30.39	103.40	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3572	慈溪市	cixishi			cxs	12	30.11	121.15	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3573	从化市	conghuashi			chs	20	23.33	113.33	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3574	大安市	daianshi			das	8	45.30	124.18	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3575	大丰市	daifengshi			dfs	11			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3576	大石桥市	daishiqiaoshi			dsqs	7	40.37	122.31	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3577	大冶市	daiyeshi			dys	18	30.06	114.58	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3578	丹江口市	danjiangkoushi			djks	18	32.33	108.30	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3579	丹阳市	danyangshi			dys	11	32.00	119.32	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3580	当阳市	dangyangshi			dys	18	30.50	111.47	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3581	德惠市	dehuishi			dhs	8	44.32	125.42	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3582	德兴市	dexingshi			dxs	15	28.57	117.35	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3583	灯塔市	dengtashi			dts	7			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3584	登封市	dengfengshi			dfs	17	34.27	113.02	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3585	邓州市	dengzhoushi			dzs	17	32.42	112.05	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3586	调兵山市	tiaobingshanshi			tbss	7			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3587	定州市	dingzhoushi			dzs	4	38.30	115.00	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3588	东港市	donggangshi			dgs	7	39.53	124.08	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3589	东台市	dongtaishi			dts	11	32.51	120.19	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3590	东兴市	dongxingshi			dxs	21			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3591	东阳市	dongyangshi			dys	12	29.16	120.14	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3592	都江堰市	dujiangyanshi			djys	24	31.01	103.37	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3593	敦煌市	dunhuangshi			dhs	29	40.08	94.41	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3594	峨眉山市	emeishanshi			emss	24	29.36	103.29	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3595	额尔古纳市	eergunashi			eegns	6	50.13	120.11	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3596	恩平市	enpingshi			eps	20	22.12	112.19	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3597	肥城市	feichengshi			fcs	16	36.14	116.46	N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
3598	汾阳市	fenyangshi			fys	5			N	2	999999	1	zyh	0000-00-00 00:00:00	2012-09-24 14:53:04
