F1	F2	F3	F4	F5	F6	F7	F8	F9	F11	F12	F13	F14	¾¶Á÷Á¿
0	0	0.005	0.037	2.87	2.87	0	0	112.338	10.931	84.531	16.875	0.014	76.9
0	0	0.001	0.007	2.46	2.46	0	0	109.878	8.471	84.531	16.875	0.003	53.5
11.659	4.144	0.574	4.016	2.563	2.563	0	0	118.685	17.279	84.531	16.875	5.14	35.5
7.332	2.908	0.663	4.642	1.537	1.537	0	0	121.351	19.945	84.531	16.875	2.791	181
16.068	5.849	0.985	6.898	0.512	0.512	0	0	121.406	20	84.531	16.875	4.397	190
37.89	23.184	1.503	10.518	1.127	1.127	0	0	121.406	20	84.531	16.875	7.068	230
38.418	25.729	1.582	11.073	0	0	0	0	121.406	20	84.531	16.875	7.102	787
2.285	1.425	0.796	5.574	0.615	0.615	0	0	121.406	20	84.531	16.875	1.592	1020
0	0	0.159	1.115	2.665	2.665	0	0	118.771	17.364	84.531	16.875	0.318	362
0	0	0.026	0.184	2.665	2.665	0	0	116.106	14.699	84.531	16.875	0.064	170
0	0	0.005	0.034	2.152	2.152	0	0	113.953	12.547	84.531	16.875	0.013	105
0.43	0.012	0.043	0.3	0.41	0.41	0	0	114.295	12.889	84.531	16.875	0.154	69.7
0	0	0.011	0.078	1.947	1.947	0	0	112.354	10.947	84.531	16.875	0.031	55
0	0	0.002	0.015	3.895	3.895	0	0	108.459	7.052	84.531	16.875	0.006	44.5
0	0	0	0.003	3.075	3.075	0	0	105.384	3.977	84.531	16.875	0.001	40.7
0	0	0	0.001	2.972	2.972	0	0	102.411	1.005	84.531	16.875	0	29.6
0	0	0	0	2.833	1.005	1.828	0	99.578	0	82.703	16.875	0	24.3
0	0	0	0	1.966	0	1.966	0	97.613	0	80.738	16.875	0	22.2
0	0	0	0	1.631	0	1.631	0	95.982	0	79.107	16.875	0	19.6
0	0	0	0	1.786	0	1.786	0	94.195	0	77.32	16.875	0	18.1
0	0	0	0	1.103	0	1.103	0	93.093	0	76.218	16.875	0	16.6
0	0	0	0	1.268	0	1.268	0	91.825	0	74.95	16.875	0	15.9
0	0	0	0	1.338	0.012	1.326	0	90.499	0	73.624	16.875	0	15.9
0	0	0	0	1.662	0	1.662	0	88.836	0	71.961	16.875	0	14.4
0	0	0	0	1.711	0.006	1.705	0	87.131	0	70.256	16.875	0	14.4
0	0	0	0	1.348	0.518	0.831	0	86.3	0	69.425	16.875	0	12.9
0	0	0	0	0.949	0.635	0.314	0	85.986	0	69.111	16.875	0	12.9
0	0	0	0	0.673	0.494	0.179	0	85.807	0	68.932	16.875	0	12.3
0.664	0.044	0.062	0.434	1.435	1.435	0	0	87.097	1.289	68.932	16.875	0.365	12.9
0	0	0.016	0.112	1.651	1.289	0.362	0	85.445	0	68.57	16.875	0.073	12.9
0	0	0.003	0.022	1.366	1.1	0.266	0	85.179	0	68.304	16.875	0.015	12.3
5.196	1.475	0.3	2.099	0.307	0.307	0	0	94.511	9.332	68.304	16.875	3.712	12.3
0	0	0.185	1.293	0.307	0.307	0	0	94.215	9.036	68.304	16.875	0.742	15.1
0	0	0.037	0.257	1.742	1.742	0	0	92.485	7.306	68.304	16.875	0.148	18.1
0	0	0.007	0.05	1.23	1.23	0	0	91.255	6.076	68.304	16.875	0.03	15.9
